SubjID,ROI,Condition,Y
S9 (7T & 3T),V2,Happy,0.898
S9 (7T & 3T),V3,Happy,1.264
S9 (7T & 3T),V3AB,Happy,0.9735
S9 (7T & 3T),hV4,Happy,2.24
S9 (7T & 3T),LO,Happy,1.218
S9 (7T & 3T),VO,Happy,1.477
S9 (7T & 3T),TO,Happy,0.323
S9 (7T & 3T),PHC,Happy,1.0905
S9 (7T & 3T),IPS0,Happy,0.9165
S9 (7T & 3T),IPS1-5,Happy,1.1485
S9 (7T & 3T),SPL,Happy,NaN
S9 (7T & 3T),FEF,Happy,0.66
S9 (7T & 3T),AMG,Happy,0.4801
S9 (7T & 3T),FFA,Happy,2.6241
S9 (7T & 3T),V1,Neutral,0.7325
S9 (7T & 3T),V2,Neutral,0.831
S9 (7T & 3T),V3,Neutral,1.179
S9 (7T & 3T),V3AB,Neutral,0.9845
S9 (7T & 3T),hV4,Neutral,2.2705
S9 (7T & 3T),LO,Neutral,1.2505
S9 (7T & 3T),VO,Neutral,1.4675
S9 (7T & 3T),TO,Neutral,0.4515
S9 (7T & 3T),PHC,Neutral,1.09
S9 (7T & 3T),IPS0,Neutral,0.994
S9 (7T & 3T),IPS1-5,Neutral,1.3115
S9 (7T & 3T),SPL,Neutral,NaN
S9 (7T & 3T),FEF,Neutral,0.631
S9 (7T & 3T),AMG,Neutral,0.3119
S9 (7T & 3T),FFA,Neutral,2.6313
S11 (3T),V1,Fear,0.0973
S11 (3T),V2,Fear,0.0497
S11 (3T),V3,Fear,0.4392
S11 (3T),V3AB,Fear,-0.1414
S11 (3T),hV4,Fear,0.7753
S11 (3T),LO,Fear,0.9074
S11 (3T),VO,Fear,0.2255
S11 (3T),TO,Fear,0.7563
S11 (3T),PHC,Fear,0.0168
S11 (3T),IPS0,Fear,0.5491
S11 (3T),IPS1-5,Fear,0.5681
S11 (3T),SPL,Fear,0.0281
S11 (3T),FEF,Fear,1.3349
S11 (3T),AMG,Fear,0.3699
S11 (3T),FFA,Fear,1.6401
S11 (3T),V1,Happy,-0.1857
S11 (3T),V2,Happy,-0.2077
S11 (3T),V3,Happy,0.1699
S11 (3T),V3AB,Happy,-0.397
S11 (3T),hV4,Happy,0.7145
S11 (3T),LO,Happy,0.6111
